prices,time,station,address,gratis,fuel,chain
Unknown,Unknown,amiGo Bosschenhoofd,"Pastoor van Breugelstraat 150, Bosschenhoofd",,Aardgas,Argos
Unknown,Unknown,amiGo Bathmen,"Larenseweg 1, Bathmen",,Aardgas,Argos
Unknown,Unknown,amiGo Parrega,"Trekweg 4a, Parrega",,Aardgas,Argos
Unknown,Unknown,amiGo Mildam,"Schoterlandseweg 78, Mildam",,Aardgas,Argos
Unknown,Unknown,amiGo Nij Beets,"D. Nieuwenhuisweg 36, Nij Beets",,Aardgas,Argos
Unknown,Unknown,amiGo Neede,"Haaksbergseweg 102, Neede",,Aardgas,Argos
Unknown,Unknown,amiGo Eibergen,"Groenloseweg 7, Eibergen",,Aardgas,Argos
Unknown,Unknown,amiGo Hoogeveen,"Van Limburg Stirumstraat 1-3, Hoogeveen",,Aardgas,Argos
Unknown,Unknown,amiGo Hoogeveen,"Industrieweg 108, Hoogeveen",,Aardgas,Argos
Unknown,Unknown,amiGo Harkema,"Reitsmastraat 39, Harkema",,Aardgas,Argos
Unknown,Unknown,amiGo Haaksbergen,"Eibergsestraat 238, Haaksbergen",,Aardgas,Argos
Unknown,Unknown,amiGo Hardenberg,"Bruchterweg 104, Hardenberg",,Aardgas,Argos
Unknown,Unknown,amiGo Beilen,"Asserstraat 54, Beilen",,Aardgas,Argos
Unknown,Unknown,amiGo Coevorden,"Monierweg 1, Coevorden",,Aardgas,Argos
Unknown,Unknown,amiGo Roden,"Westeresch 15, Roden",,Aardgas,Argos
Unknown,Unknown,amiGo Oldenzaal,"Enschedesestraat 48-50, Oldenzaal",,Aardgas,Argos
Unknown,Unknown,amiGo Emmen,"Rijksweg 34 Oostzijde, Emmen",,Aardgas,Argos
Unknown,Unknown,amiGo Uithuizen,"Industrieweg 9, Uithuizen",,Aardgas,Argos
Unknown,Unknown,amiGo Vlagtwedde,"Weenderstraat 132, Vlagtwedde",,Aardgas,Argos
Unknown,Unknown,Argos Putten,"Jan Nijenhuisstraat 10, Putten",,Aardgas,AVIA
Unknown,Unknown,Argos Zeewolde,"Schepenveld 49 A, Zeewolde",,Aardgas,AVIA
Unknown,Unknown,Argos Nuland,"Rijksweg 40, Nuland",,Aardgas,AVIA
Unknown,Unknown,Argos Gorinchem,"Stationsweg 21a, Gorinchem",,Aardgas,AVIA
Unknown,Unknown,Argos Gorinchem,"Van Hogendorpweg 6, Gorinchem",,Aardgas,AVIA
Unknown,Unknown,Argos Schijndel,"Europalaan 44-46, Schijndel",,Aardgas,AVIA
Unknown,Unknown,Argos Gouda,"Burgemeester van Reenensingel 45, Gouda",,Aardgas,AVIA
Unknown,Unknown,Argos Zwaag,"Oostergouw 1, Zwaag",,Aardgas,AVIA
Unknown,Unknown,Argos Helmond,"Hoofdstraat 66, Helmond",,Aardgas,AVIA
Unknown,Unknown,Argos Benthuizen,"Bentwoudlaan 1, Benthuizen",,Aardgas,AVIA
Unknown,Unknown,Argos Heerjansdam,"Industrieweg 18, Heerjansdam",,Aardgas,AVIA
Unknown,Unknown,Argos Bleiswijk,"Hoekeindseweg 61, Bleiswijk",,Aardgas,AVIA
Unknown,Unknown,Argos Strijen,"Trambaan 49, Strijen",,Aardgas,AVIA
Unknown,Unknown,Argos Berkel en Rodenrijs,"Wilgenlaan 3, Berkel en Rodenrijs",,Aardgas,AVIA
Unknown,Unknown,Argos Vlaardingen,"Anna van Saksenweg 2, Vlaardingen",,Aardgas,AVIA
